artist_name,track_name,release_date,genre,lyrics
Olivia Rodrigo,deja vu,2021,Alternative Rock,"Car rides to Malibu
Strawberry ice cream, one spoon for two
And tradin' jackets
Laughin’ 'bout how small it looks on you
(Ha-ha-ha-ha, ha-ha-ha-ha-ha, ha-ha-ha-ha)
Watching reruns of 
Glee
Bein' annoying, singin’ in harmony
I bet she's braggin' to all her friends, sayin' you're so unique, hmm

So when you gonna tell her that we did that, too?
She thinks it's special, but it's all reused
That was our place, I found it first
I made the jokes you tell to her when she's with you
Do you get déjà vu when she’s with you?
Do you get déjà vu? (Ah) Hmm
Do you get déjà vu, huh?

Do you call her, almost say my name?
’Cause let's be honest, we kinda do sound the same
Another actress
I hate to think that I was just your type
And I bet that she knows Billy Joel
’Cause you played her ""Uptown Girl""
You're singin' it together
Now I bet you even tell her how you love her
In between the chorus and the verse (Ooh; I love you)

So when you gonna tell her that we did that, too?
She thinks it's special, but it’s all reused
That was the show we talked about
Played you the songs she's singing now when she's with you
Do you get déjà vu when she's with you?
Do you get déjà vu? (Oh-oh)
Do you get déjà vu?

Strawberry ice cream in Malibu
Don't act like we didn't do that shit, too
You're tradin' jackets like we used to do
(Yeah, everything is all reused)
Play her piano, but she doesn't know (Oh, oh)
That I was the one who taught you Billy Joel (Oh)
A different girl now, but there's nothing new

I know you get déjà vu
I know you get déjà vu
I know you get déjà vu"
Olivia Rodrigo,good 4 u,2021,Alternative Rock,"(Ah)

Well, good for you, I guess you moved on really easily
You found a new girl and it only took a couple weeks
Remember when you said that you wanted to give me the world?
(World)
And good for you, I guess that you've been workin' on yourself
I guess that therapist I found for you, she really helped
Now you can be a better man for your brand-new girl (Girl)

Well, good for you
You look happy and healthy, not me
If you ever cared to ask
Good for you
You're doin' great out there without me, baby
God, I wish that I could do that
I've lost my mind, I've spent the night
Cryin' on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Well, good for you, I guess you're gettin' everything you want (Ah)
You bought a new car and your career's really takin' off (Ah)
It's like we never even happened
Baby, what the fuck is up with that? (Ah)
And good for you, it's like you never even met me
Remember when you swore to God I was the only
Person who ever got you? Well, screw that, and screw you
You will never have to hurt the way you know that I do

Well, good for you
You look happy and healthy, not me
If you ever cared to ask
Good for you
You're doin' great out there without me, baby
God, I wish that I could do that
I've lost my mind, I've spent the night
Cryin' on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

(Ah-ah-ah-ah)
(Ah-ah-ah-ah)

Maybe I'm too emotional
But your apathy's like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all
Maybe I'm too emotional
Your apathy is like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all

Well, good for you
You look happy and healthy, not me
If you ever cared to ask
Good for you
You're doin' great out there without me, baby
Like a damn sociopath
I've lost my mind, I've spent the night
Cryin' on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Well, good for you, I guess you moved on really easily"
Oasis,Wonderwall,1995,Alternative Rock,"Today is gonna be the day
That they're gonna throw it back to you
By now, you should've somehow
Realised what you gotta do
I don't believe that anybody
Feels the way I do about you now

Backbeat, the word is on the street
That the fire in your heart is out
I'm sure you've heard it all before
But you never really had a doubt
I don't believe that anybody
Feels the way I do about you now

And all the roads we have to walk are winding
And all the lights that lead us there are blinding
There are many things that I would like to say to you
But I don't know how

Because maybe
You're gonna be the one that saves me
And after all
You're my wonderwall

Today was gonna be the day
But they'll never throw it back to you
By now, you should've somehow
Realised what you're not to do
I don't believe that anybody
Feels the way I do about you now

And all the roads that lead you there were winding
And all the lights that light the way are blinding
There are many things that I would like to say to you
But I don't know how

I said maybe
You're gonna be the one that saves me
And after all
You're my wonderwall
I said maybe (I said maybe)
You're gonna be the one that saves me
And after all
You're my wonderwall

I said maybe (I said maybe)
You're gonna be the one that saves me (That saves me)
You're gonna be the one that saves me (That saves me)
You're gonna be the one that saves me (That saves me)"
Paramore,Still into You,2013,Alternative Rock,"Can't count the years on one hand that we've been together
I need the other one to hold you, make you feel, make you feel better
It's not a walk in the park to love each other
But when our fingers interlock, can't deny, can't deny you're worth it

'Cause after all this time
I'm still into you

I should be over all the butterflies
But I'm into you (I'm into you)
And, baby, even on our worst nights
I'm into you (I'm into you)
Let 'em wonder how we got this far
'Cause I don't really need to wonder at all
Yeah, after all this time
I'm still into you

Recount the night that I first met your mother
And on the drive back to my house, I told you that, I told you that I loved ya
You felt the weight of the world fall off your shoulder
And to your favorite song, we sang along to the start of forever

And after all this time
I'm still into you

I should be over all the butterflies
But I'm into you (I'm into you)
And, baby, even on our worst nights
I'm into you (I'm into you)
Let 'em wonder how we got this far
'Cause I don't really need to wonder at all
Yeah, after all this time
I'm still into you

Some things just, some things just make sense
And one of those is you and I (Hey)
Some things just, some things just make sense
And even after all this time (Hey)
I'm into you
Baby, not a day goes by that I'm not into you

I should be over all the butterflies
But I'm into you (I'm into you)
And, baby, even on our worst nights
I'm into you (I'm into you)
Let 'em wonder how we got this far
'Cause I don't really need to wonder at all
Yeah, after all this time
I'm still into you
I'm still into you
I'm still into you"
Linkin Park,In the End,2000,Alternative Rock,"It starts with one

One thing, I don't know why
It doesn't even matter how hard you try
Keep that in mind, I designed this rhyme
To explain in due time, all I know
Time is a valuable thing
Watch it fly by as the pendulum swings
Watch it count down to the end of the day
The clock ticks life away, 
it's so unreal
Didn't look out below
Watch the time go right out the window
Tryin' to hold on, d-didn't even know
I wasted it all just to watch you go

I kept everything inside
And even though I tried, it all fell apart
What it meant to me will eventually be
A memory of a time when I tried so hard

I tried so hard and got so far
But in the end, it doesn't even matter
I had to fall to lose it all
But in the end, it doesn't even matter

One thing, I don't know why
It doesn't even matter how hard you try
Keep that in mind, I designed this rhyme
To remind myself how I tried so hard
In spite of the way you were mockin' me
Actin' like I was part of your property
Remembering all the times you fought with me
I'm surprised it got so far
Things aren't the way they were before
You wouldn't even recognize me anymore
Not that you knew me back then
But it all comes back to me in the end

You kept everything inside
And even though I tried, it all fell apart
What it meant to me will eventually be
A memory of a time when I tried so hard

I tried so hard and got so far
But in the end, it doesn't even matter
I had to fall to lose it all
But in the end, it doesn't even matter

I've put my trust in you
Pushed as far as I can go
For all this, there's only one thing you should know
I've put my trust in you
Pushed as far as I can go
For all this, there's only one thing you should know

I tried so hard and got so far
But in the end, it doesn't even matter
I had to fall to lose it all
But in the end, it doesn't even matter"
Olivia Rodrigo,vampire,2023,Alternative Rock,"Hate to give the satisfaction asking how you're doing now
How's the castle built off people you pretend to care about?
Just what you wanted
Look at you, cool guy, you got it
I see the parties and the diamonds sometimes when I close my eyes
Six months of torture you sold as some forbidden paradise
I loved you truly
You gotta laugh at the stupidity

'Cause I've made some real big mistakes
But you make the worst one look fine
I should've known it was strange
You only come out at night
I used to think I was smart
But you made me look so naive
The way you sold me for parts
As you sunk your teeth into me, oh
Bloodsucker, fame fucker
Bleedin' me dry like a goddamn vampire

And every girl I ever talked to told me you were bad, bad news
You called them crazy, God, I hate the way I called them crazy too
You're so convincing
How do you lie without flinching? (How do you lie? How do you lie? How do you lie?)
Ooh, what a mesmerizing, paralyzing, fucked up little thrill
Can't figure out just how you do it and God knows I never will
Went for me and not her
'Cause girls your age know better

I've made some real big mistakes
But you make the worst one look fine
I should've known it was strange
You only come out at night
I used to think I was smart
But you made me look so naive
The way you sold me for parts
As you sunk your teeth into me, oh
Bloodsucker, fame fucker
Bleedin' me dry like a goddamn vampire

(Ah)
You said it was true love, but wouldn't that be hard?
You can't love anyone 'cause that would mean you had a heart
I tried to help you out, now I know that I can't
'Cause how you think's the kind of thing I'll never understand

I've made some real big mistakes
But you make the worst one look fine
I should've known it was strange
You only come out at night
I used to think I was smart
But you made me look so naive
The way you sold me for parts
As you sunk your teeth into me, oh
Bloodsucker, fame fucker
Bleedin' me dry like a goddamn vampire"
Gorillaz,Feel Good Inc.,2005,Alternative Rock,"Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha
Feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good
(Change, change, change, change)
Sha-ba, sha-ba, sha-ba-da-ba, feel good
(Change, change, change, change)
Sha-ba, sha-ba, sha-ba-da-ba, feel good

City's breaking down on a camel's back
They just have to go, 'cause they don't know wack
So all ya fill the streets, it's appealing to see
You won't get undercounted 'cause you're damn-ass free
You got a new horizon, it's ephemeral style
A melancholy town where we never smile
And all I wanna hear is the message beep
My dreams, they gotta kiss because I don't get sleep, no
*Beep
*

Windmill, windmill for the land
Turn forever, hand in hand
Take it all in on your stride
It is ticking, falling down
Love forever, love is free
Let's turn forever, you and me
Windmill, windmill for the land
Is everybody in?

Laughin' gas, these hazmats, fast cats
Linin' 'em up like ass cracks
Play these ponies at the track
It's my chocolate attack
Shit, I'm steppin' in the heart of this here (Yeah)
Care Bear repping in harder this year (Yeah)
Watch me as I gravitate, ha-ha-ha-ha-ha!
Yo, we gon' ghost town this Motown
With yo' sound, you in the blink
Gon' bite the dust, can't fight with us
With yo' sound, you kill the Inc
So don't stop, get it, get it (Get it)
Until you're cheddar headed
And watch the way I navigate, ha-ha-ha-ha-ha
(Ha! Ha-ha! Ha-ha! Ha-ha! Ha!)
(Ha-ha-ha! Haa!)
(Ha-ha-ha-ha-ha! Haa!)
(Ha-ha-ha-ha-ha-ha-ha-ha! Haa!)
(Ha-ha-ha-ha-ha-ha-ha-ha!)

Sha-ba, sha-ba, sha-ba-da-ba, feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good


Windmill, windmill for the land
Turn forever, hand in hand
Take it all in on your stride
It is ticking, falling down
Love forever, love is free
Let's turn forever, you and me
Windmill, windmill for the land
Is everybody in?

Don't stop, get it, get it, peep how your captain's in it
(Sha-ba, sha-ba, sha-ba-da-ba, feel good)
Steady, watch me navigate, ha-ha-ha-ha-ha!
(Sha-ba, sha-ba, sha-ba-da-ba, feel good)
Don't stop, get it, get it, peep how your captain's in it
(Sha-ba, sha-ba, sha-ba-da-ba, feel good)
Steady, watch me navigate, ha-ha-ha-ha-ha!
(Sha-ba, sha-ba, sha-ba-da-ba, feel good)
Sha-ba, sha-ba, sha-ba-da-ba, feel good (Haa-ha-ha!)
Sha-ba, sha-ba, sha-ba-da-ba, feel good (Haa-ha-ha!)
Sha-ba, sha-ba, sha-ba-da-ba, feel good (Haa-ha-ha-ha-ha!)
Sha-ba, sha-ba, sha-ba-da-ba, feel good (Haa-ha-ha-ha-ha-ha!)"
Taylor Swift,But Daddy I Love Him,2024,Alternative Rock,"I forget how the West was won
I forget if this was ever fun
I just learned these people only raise you
To cage you
Sarahs and Hannahs in their Sunday best
Clutchin' their pearls, sighing, ""What a mess""
I just learned these people try and save you
'Cause they hate you

Too high a horse
For a simple girl
To rise above it
They slammed the door
On my whole world
The one thing I wanted

Now I'm runnin' with my dress unbuttoned
Scrеamin', ""But, Daddy, I love him""
I'm havin' his baby
No, I'm not, but you should see your faces
I'm tellin' him to floor it through thе fences
No, I'm not coming to my senses
I know he's crazy, but he's the one I want

Dutiful daughter, all my plans were laid
Tendrils tucked into a woven braid
Growin' up precocious sometimes means
Not growin' up at all
He was chaos, he was revelry
Bedroom eyes like a remedy
Soon enough, the elders had convened
Down at the city hall

""Stay away from her""
The saboteurs
Protested too much
Lord knows the words
We never heard
Just screeching tires and true love

And I'm runnin' with my dress unbuttoned
Screamin', ""But, Daddy, I love him""
I'm havin' his baby
No, I'm not, but you should see your faces
I'm tellin' him to floor it through the fences
No, I'm not coming to my senses
I know he's crazy, but he's the one I want

I'll tell you something right now
I'd rather burn my whole life down
Than listen to one more second of all this bitchin' and moanin'
I'll tell you something 'bout my good name
It's mine alone to disgrace
I don't cater to all these vipers dressed in empath's clothing

God save the most judgmental creeps
Who say they want what's best for me
Sanctimoniously performing soliloquies I'll never see
Thinkin' it can change the beat
Of my heart when he touches me
And counteract the chemistry
And undo the destiny
You ain't gotta pray for me
Me and my wild boy and all of this wild joy
If all you want is gray for me
Then it's just white noise, and it's just my choice

There's a lot of people in town that I
Bestow upon my fakest smiles
Scandal does funny things to pride, but brings lovers closer
We came back when the heat died down
Went to my parents and they came around
All the wine moms are still holdin' out, but fuck 'em, it's over

Now I'm dancin' in my dress in the sun and
Even my daddy just loves him
I'm his lady
And, oh my God, you should see your faces
Time, doesn't it give some perspective?
And, no, you can't come to the wedding
I know it's crazy, but he's the one I want

I'll tell you something right now
You ain't gotta pray for me
Me and my wild boy and all of this wild joy
(He was chaos, he was revelry)
If all you want is gray for me
Then it's just white noise, and it's my choice

Screamin', ""But, Daddy, I love him""
I'm having his baby
No, I'm not
But you should see your faces
But, oh my God, you should see your faces
(He was chaos, he was revelry)
(He was chaos, he was revelry)"
The Neighbourhood,Sweater Weather,2012,Alternative Rock,"And all I am is a man
I want the world in my hands
I hate the beach, but I stand
In California with my toes in the sand
Use the sleeves of my sweater, let's have an adventure
Head in the clouds, but my gravity's centered
Touch my neck and I'll touch yours
You in those little high-waisted shorts, oh

She knows what I think about
And what I think about
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothing that I wouldn't wanna tell you about, no

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater

And if I may just take your breath away
I don't mind if there's not much to say
Sometimes the silence guides a mind
To move to a place so far away
The goosebumps start to raise
The minute that my left hand meets your waist
And then I watch your face
Put my finger on your tongue 'cause you love the taste, yeah
These hearts adore
Everyone the other beats hardest for
Inside, this place is warm
Outside, it starts to pour

Comin' down
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothin' that I wouldn't wanna tell you about
No, no, no

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
Woah

Woah, woah, woah
Woah, woah, woah, woah
Woah, woah
Woah, woah, woah, woah
Woah, woah

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
'Cause it's too cold for you here and now
Let me hold both your hands in the holes of my sweater

And it's too cold, it's too cold
The holes of my sweater"
Nirvana,Come as You Are,1991,Alternative Rock,"Come as you are, as you were
As I want you to be
As a friend, as a friend
As an old enemy
Take your time, hurry up
Choice is yours, don't be late
Take a rest as a friend
As an old memoria

Memoria
Memoria
Memoria

Come doused in mud, soaked in bleach
As I want you to be
As a trend, as a friend
As an old memoria

Memoria
Memoria
Memoria

And I swear that I don't have a gun
No, I don't have a gun
No, I don't have a gun


'Ria
Memoria
Memoria
Memoria (No, I don't have a gun)

Well, I swear that I don't have a gun
No, I don't have a gun
No, I don't have a gun
No, I don't have a gun
No, I don't have a gun

(Memoria)
(Memoria)"
Arctic Monkeys,505,2007,Alternative Rock,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side
With your hands between your thighs

Stop and wait a sec
And when you look at me like that, my darlin'
What did you expect?
I'd probably still adore you
With your hands around my neck
Or I did last time I checked
Not shy of a spark
The knife twists at the thought
That I should fall short of the mark
Frightened by the bite, though
It's no harsher than the bark
The middle of adventure
Such a perfect place to start

I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side
With your hands between your thighs

But I crumble completely when you cry
It seems like once again you've had to greet me with goodbye
I'm always just about to go and spoil the surprise
Take my hands off of your eyes too soon

I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side
With your hands between your thighs and a smile"
Taylor Swift,So High School,2024,Alternative Rock,"I feel so high school every time I look at you
I wanna find you in a crowd just to hide from you

And in the blink of a crinklin' eye
I'm sinkin', our fingers entwined
Cheeks pink in the twinklin' lights
Tell me 'bout the first time you saw me
I'll drink what you think and I'm high
From smokin' your jokes all damn night
The brink of a wrinkle in time
Bittersweet sixteen suddenly

I'm watchin' 
American Pie
 with you on a Saturday night
Your friends are around, so be quiet
I'm tryin' to stifle my sighs
'Cause I feel so high school every time I look at you
But look at you

Ah-ah, ah-ah, ah

Are you gonna marry, kiss, or kill me? (Kill me)
It's just a game, but really (Really)
I'm bettin' on all three (All three) for us two
Get my car door, isn't that sweet? (That sweet)
Then pull mе to the back seat (The back sеat)
No one's ever had me (Had me), not like you

Truth, dare, spin bottles
You know how to ball, I know Aristotle
Brand new, full throttle
Touch me while your bros play 
Grand Theft Auto
It's true, swear, scout's honor
You knew what you wanted and, boy, you got her
Brand new, full throttle
You already know, babe

I feel like laughin' in the middle of practice
Do that impression you did of your dad again
I'm hearing voices like a madman

And in the blink of a crinklin' eye
I'm sinkin', our fingers entwined
Cheeks pink in the twinklin' lights
Tell me 'bout the first time you saw me
I'll drink what you think and I'm high
From smokin' your jokes all damn night
The brink of a wrinkle in time
Bittersweet sixteen suddenly

I'm watchin' American Pie with you on a Saturday night
Your friends are around, so be quiet
I'm tryin' to stifle my sighs
'Cause I feel so high school (I feel so high school) every time I look at you
But look at you

Truth, dare, spin bottles (Yeah)
You know how to ball, I know Aristotle
Brand new, full throttle (Yeah)
Touch me while your bros play Grand Theft Auto
It's true, swear, scout's honor (Yeah)
You knew what you wanted and, boy, you got her
Brand new, full throttle (Yeah)
You already know, babe
You already know, babe"
Mazzy Star,Fade into You,1993,Alternative Rock,"I wanna hold the hand inside you
I wanna take the breath that's true
I look to you and I see nothing
I look to you to see the truth
You live your life, you go in shadows
You'll come apart and you'll go blind
Some kind of night into your darkness
Colors your eyes with what's not there

Fade into you
Strange you never knew
Fade into you
I think it's strange you never knew


A stranger light comes on slowly
A stranger's heart without a home
You put your hands into your head
And then its smiles cover your heart

Fade into you
Strange you never knew
Fade into you
I think it's strange you never knew
Fade into you
Strange you never knew
Fade into you
I think it's strange you never knew

I think it's strange you never knew"
Taylor Swift,Guilty as Sin?,2024,Alternative Rock,"Drownin' in the Blue Nile
He sent me ""Downtown Lights""
I hadn't heard it in a while
My boredom's bone-deep
This cage was once just fine
Am I allowed to cry?
I dream of crackin' locks
Throwin' my life to the wolves or the ocean rocks
Crashin' into him tonight, he's a paradox
I'm seeing visions
Am I bad or mad or wise?

What if he's written ""mine"" on my upper thigh only in my mind?
One slip and fallin' back into the hedge maze
Oh, what a way to die
I keep recalling things we never did
Messy top-lip kiss, how I long for our trysts
Without ever touchin' his skin
How can I be guilty as sin?

I keep these longings lockеd
In lowercase, inside a vault
Somеone told me, ""There's no such thing as bad thoughts
Only your actions talk""
These fatal fantasies
Giving way to labored breath, takin' all of me
We've already done it in my head
If it's make-believe
Why does it feel like a vow we'll both uphold somehow?

What if he's written ""mine"" on my upper thigh only in my mind?
One slip and fallin' back into the hedge maze
Oh, what a way to die
My bed sheets are ablaze
I've screamed his name
Buildin' up like waves crashin' over my grave
Without ever touchin' his skin
How can I be guilty as sin?

What if I roll the stone away?
They're gonna crucify me anyway
What if the way you hold me is actually what's holy?
If long-suffering propriety is what they want from me
They don't know how you've haunted me so stunningly
I choose you and me religiously

What if he's written ""mine"" on my upper thigh only in my mind?
One slip and fallin' back into the hedge maze
Oh, what a way to die
I keep recalling things we never did
Messy top-lip kiss, how I long for our trysts
Without ever touchin' his skin
How can I be guilty as sin?

He sent me ""Downtown Lights""
I hadn't heard it in a while
Am I allowed to cry?"
The Weeknd,Wicked Games,2011,Alternative Rock,"Woah, woah, ehh

I left my girl back home
I don't love her no more
And she'll never fucking know that
These fucking eyes that I'm staring at
Let me see that ass
Look at all this cash
And I emptied out my cards too
Now I'm fucking leaning on that

Bring your love, baby, I could bring my shame
Bring the drugs, baby, I could bring my pain
I got my heart right here
I got my scars right here
Bring the cups, baby, I could bring the drank
Bring your body, baby, I could bring you fame
And that's my motherfucking words too
Just let me motherfucking love you

Listen, ma, I'll give you all I got
Get me off of this, I need confidence in myself (Yeah, yeah, yeah, ohh, yeah)
Ohh, listen, ma, I'll give you all of me
Give me all of it, I need all of it to myself (Woah, woah)
So tell me you love me
(Only for tonight, only for the night)
Even though you don't love me (Ohh, ohh)
Just tell me you love me
(I'll give you what I need, I'll give you all of me) (Oh, oh, yeah)
Even though you don't love me (Ohh, yeah, yeah, ohh, yeah, yeah)

Let me see you dance
I love to watch you dance
Take you down another level
And get you dancing with the Devil
Take a shot of this
But I'm warning you
I'm on that shit that you can't smell, baby
So, put down your perfume

Bring your love, baby, I could bring my shame
Bring the drugs, baby, I could bring my pain
Oh, I got my heart right here
Oh, I got my scars right here
Bring the cups, baby, I could bring the drank
Bring your body, baby, I could bring you fame
And that's my motherfucking words too, ayy
So let me motherfucking love you

Listen, ma, I'll give you all I got
Get me off of this (off of this), I need confidence (confidence)  in myself (Ooh, eh, ehh)
Listen, ma, I'll give you all of me (Ooh)
Give me all of it, I need all of it to myself (I need all of it)
So tell me you love me, yeah
(Only for tonight, only for the night)
Even though you don't love me (Ohh, ohh)
Just tell me you love me
(I'll give you what I need, I'll give you all of me)
Even though you don't love me (Ohh, ohh)
Ohh"
Imagine Dragons,Demons,2013,Alternative Rock,"When the days are cold and the cards all fold
And the saints we see are all made of gold
When your dreams all fail and the ones we hail
Are the worst of all, and the blood's run stale

I wanna hide the truth, I wanna shelter you
But with the beast inside, there's nowhere we can hide
No matter what we breed, we still are made of greed
This is my kingdom come, this is my kingdom come

When you feel my heat, look into my eyes
It's where my demons hide, it's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide, it's where my demons hide

At the curtain's call it's the last of all
When the lights fade out, all the sinners crawl
So they dug your grave and the masquerade
Will come calling out at the mess you've made

Don't wanna let you down, but I am hell-bound
Though this is all for you, don't wanna hide the truth
No matter what we breed, we still are made of greed
This is my kingdom come, this is my kingdom come

When you feel my heat, look into my eyes
It's where my demons hide, it's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide, it's where my demons hide

They say it's what you make, I say it's up to fate
It's woven in my soul, I need to let you go
Your eyes, they shine so bright, I wanna save that light
I can't escape this now, unless you show me how

When you feel my heat, look into my eyes
It's where my demons hide, it's where my demons hide
Don't get too close, it's dark inside
It's where my demons hide, it's where my demons hide"
Taylor Swift,Florida!!!,2024,Alternative Rock,"You can beat the heat if you beat the charges too
They said I was a cheat, I guess it must be true
And my friends all smell like weed or little babies
And this city reeks of driving myself crazy

Little did you know your home's really only
A town you're just a guest in
So you work your life away just to pay
For a time-share down in Destin

Florida
Is one hell of a drug
Florida
Can I use you up?

The hurricane with my name when it came
I got drunk and I dared it to wash me away
Barricaded in the bathroom with a bottle of wine
Well, me and my ghosts, wе had a hell of a time
Yes, I'm hauntеd, but I'm feeling just fine
All my girls got their lace and their crimes
And your cheating husband disappeared, well
No one asks any questions here
So I did my best to lay to rest
All of the bodies that have ever been on my body
And in my mind, they sink into the swamp
Is that a bad thing to say in a song?

Little did you know your home's really only
The town you'll get arrested
So you pack your life away just to wait out
The shitstorm back in Texas

Florida
Is one hell of a drug
Florida
Can I use you
 up?

I need to forget, so take me to Florida
I've got some regrets, I'll bury them in Florida
Tell me I'm despicable, say it's unforgivable
At least the dolls are beautiful, fuck me up, Florida
I need to forget, so take me to Florida
I've got some regrets, I'll bury them in Florida
Tell me I'm despicable, say it's unforgivable
What a crash, what a rush, fuck me up, Florida
It's one hell of a drug
It's one hell of a drug
Love left me like this and I don't want to exist
So take me to Florida

Little did you know your home's really only
A town you're just a guest in (Florida)
So you work your life away just to pay
For a time-share down in 
Destin (Take me to Florida)
Little did you know your home's really only
The town you'll get arrested (Florida)
So you pack your life away just to wait out
The shitstorm back in Texas

Florida
Is one hell of a drug
(
Take me to
) Florida
Can I use you up?
Florida
Is one hell of a drug
Florida
Go on, fuck me up"
Taylor Swift,Elizabeth Taylor,2025,Alternative Rock,"Elizabeth Taylor
Do you think it's forever?

That view of Portofino was on my mind when you called me at the Plaza Athénée
Ooh-ooh, oftentimes it doesn't feel so glamorous to be me
All the right guys promised they'd stay
Under bright lights, they withered away
But you bloom
Portofino was on my mind (And I think you know why)

And if your letters ever said, ""Goodbye""

I'd cry my eyes violet, Elizabeth Taylor
Tell me for real, do you think it's forever?
Been number one, but I never had two
And I can't have fun if I can't have— (Uh)
Be my NY whеn Hollywood hates me
You're only as hot as your last hit, baby
Been numbеr one, but I never had two
And I can't have fun if I can't have you

Hey-ey, what could you possibly get for the girl who has everything and nothing all at once?
Babe, I would trade the Cartier for someone to trust (Just kidding)
We hit the best booth at Musso and Frank's
They say I'm bad news, I just say, ""Thanks""
And you
Look at me like you're hypnotized, and I think you know why

And if you ever leave me high and dry

I'd cry my eyes violet, Elizabeth Taylor
Tell me for real, do you think it's forever?
Been number one, but I never had two
And I can't have fun if I can't have— (Uh)
Be my NY when Hollywood hates me
You're only as hot as your last hit, baby
Been number one, but I never had two
And I can't have fun if I can't have (Uh) you

Elizabeth Taylor (Oh)
Do you think it's forever? (Oh)
If I can't have you

(Ah) All my white diamonds and lovers are forever
(Ah) In the papers, on the screen, and in their minds
(Ah) All my white diamonds and lovers are forever
(Ah) Don't you ever end up anything but mine

I'd cry my eyes violet, Elizabeth Taylor
Tell me for real, do you think it's forever?
Been number one, but I never had two
And I can't have fun if I can't have— (You)
Be my NY when Hollywood hates me
You're only as hot as your last hit, baby
Been number one, but I never had two
And I can't have fun if I can't have— (You)

All my white diamonds and lovers are forever (Elizabeth Taylor)
(Do you think it's forever?) In the papers, on the screen, and in their minds
All my white diamonds and lovers are forever
Don't you ever end up anything but mine, oh"
The 1975,Somebody Else,2016,Alternative Rock,"So I heard you found somebody else
And at first, I thought it was a lie
I took all my things that make sounds
The rest I can do without

I don't want your body
But I hate to think about you with somebody else
Our love has gone cold
You're intertwining your soul with somebody else
I'm looking through you
While you're looking through your phone
And then leaving with somebody else
No, I don't want your body
But I'm picturing your body with somebody else (Else, else...)

I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body

And c'mon baby (I know)
This ain't the last time that I'll see your face
And c'mon baby (I know)
You said you'd find someone to take my place (Place, place)
I just don't believe that you have got it in you
'Cause we are just gonna keep “Doin' it” and every time
I start to believe in anything you're saying
I'm reminded that I should be gettin' over it

I don't want your body
But I hate to think about you with somebody else
Our love has gone cold
You're intertwining your soul with somebody else
I'm looking through you
While you're looking through your phone
And then leaving with somebody else
No, I don't want your body
But I'm picturing your body with somebody else (Else, else...)

I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body

Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone
Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone
Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone
Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone

I don't want your body (I don't want your body)
But I hate to think about you with somebody else
(I don't want your body)
Our love has gone cold
You're intertwining your soul with somebody else
(I don't want your body)
I'm looking through you
While you're looking through your phone
And then leaving with somebody else
(I don't want your body)
No, I don't want your body (I don't want your body)
But I'm picturing your body with somebody else
(I don't want your body)"
